date,SPY_BH,60_40,FRAR,FRAR_Net,FRAR_Quad,FRAR_Quad_Net
2006-01-04,1.0047354384417426,1.0,1.0,1.0,1.0,1.0
2006-01-05,1.0053668942024179,1.0,1.0,0.9999900404190788,1.0,0.9999815381393447
2006-01-06,1.013733355920009,1.0,1.0,0.9999800809373508,1.0,0.9999630766195295
2006-01-09,1.0163379473771166,1.0,1.0,0.999970121554815,1.0,0.9999446154405485
2006-01-10,1.0173634196692145,1.0,1.0,0.9999601622714707,1.0,0.9999261546023951
2006-01-11,1.020599990265166,1.0,1.0,0.9999502030873165,1.0,0.9999076941050631
2006-01-12,1.0165746887688103,1.0,1.0,0.9999402440023516,1.0,0.9998892339485463
2006-01-13,1.015627112594171,1.0,1.0,0.9999302850165751,1.0,0.9998707741328383
2006-01-17,1.0128653332270294,1.0,1.0,0.9999203261299858,1.0,0.9998523146579329
2006-01-18,1.0088400317306738,1.0,1.0,0.999910367342583,1.0,0.9998338555238238
2006-01-19,1.012707011330963,1.0,1.0,0.9999004086543655,1.0,0.9998153967305045
2006-01-20,0.9942385658879906,1.0,1.0,0.9998904500653323,1.0,0.999796938277969
2006-01-23,0.9977898612227895,1.0,1.0,0.9998804915754825,1.0,0.9997784801662108
2006-01-24,0.9988159441227511,1.0,1.0,0.9998705331848151,1.0,0.9997600223952237
2006-01-25,0.9996840540454255,1.0,1.0,0.999860574893329,1.0,0.9997415649650014
2006-01-26,1.0052087467657411,1.0,1.0,0.9998506167010235,1.0,0.9997231078755376
2006-01-27,1.014522174050108,1.0,1.0,0.9998406586078973,1.0,0.999704651126826
2006-01-30,1.0137333559200092,1.0,1.0,0.9998307006139495,1.0,0.9996861947188604
2006-01-31,1.0063143831473629,1.0,1.0,0.9998207427191793,1.0,0.9996677386516344
2006-02-01,1.0133384670916386,1.0,1.0,0.9998107849235854,1.0,0.9996492829251418
2006-02-02,1.001578595786841,1.0,1.0,0.999800827227167,1.0,0.9996308275393762
2006-02-03,0.9966063287237096,1.0,1.0,0.9997908696299231,1.0,0.9996123724943313
2006-02-06,0.9992106584917326,1.0,1.0,0.9997809121318527,1.0,0.9995939177900008
2006-02-07,0.9903708884501433,1.0,1.0,0.9997709547329549,1.0,0.9995754634263787
2006-02-08,0.9993685442393251,1.0,1.0,0.9997609974332285,1.0,0.9995570094034584
2006-02-09,0.997711092808383,1.0,1.0,0.9997510402326727,1.0,0.9995385557212336
2006-02-10,0.9995261682978333,1.0,1.0,0.9997410831312864,1.0,0.9995201023796982
2006-02-13,0.9977110928083831,1.0,1.0,0.9997311261290687,1.0,0.9995016493788459
2006-02-14,1.0082873443844056,1.0,1.0,0.9997211692260185,1.0,0.9994831967186701
2006-02-15,1.0118389886379837,1.0,1.0,0.999711212422135,1.0,0.999464744399165
2006-02-16,1.0194159343879177,1.0,1.0,0.999701255717417,1.0,0.9994462924203239
2006-02-17,1.0166531954941331,1.0,1.0,0.9996912991118636,1.0,0.9994278407821406
2006-02-21,1.0141277213702116,1.0,1.0,0.9996813426054738,1.0,0.9994093894846091
2006-02-22,1.0202838698512022,1.0,1.0,0.9996713861982467,1.0,0.9993909385277228
2006-02-23,1.0187843913975474,1.0,1.0,0.9996614298901813,1.0,0.9993724879114754
2006-02-24,1.0213891573140446,1.0,1.0,0.9996514736812764,1.0,0.9993540376358607
2006-02-27,1.021783784453331,1.0,1.0,0.9996415175715312,1.0,0.9993355877008725
2006-02-28,1.0120758172593725,1.0,1.0,0.9996315615609448,1.0,0.9993171381065044
2006-03-01,1.0210734730485544,1.0,1.0,0.999621605649516,1.0,0.9992986888527501
2006-03-02,1.0209942684856739,1.0,1.0,0.9996116498372439,1.0,0.9992802399396034
2006-03-03,1.0162583938954572,1.0,1.0,0.9996016941241276,1.0,0.999261791367058
2006-03-06,1.0116018983275108,1.0,1.0,0.9995917385101659,1.0,0.9992433431351075
2006-03-07,1.0100236514594494,1.0,1.0,0.999581782995358,1.0,0.9992248952437457
2006-03-08,1.0121545856737795,1.0,1.0,0.9995718275797029,1.0,0.9992064476929663
2006-03-09,1.0053668942024185,1.0,1.0,0.9995618722631995,1.0,0.999188000482763
2006-03-10,1.0149173245675638,1.0,1.0,0.9995519170458469,1.0,0.9991695536131296
2006-03-13,1.0168108195526415,1.0,1.0,0.9995419619276441,1.0,0.9991511070840597
2006-03-14,1.0274667118400187,1.0,1.0,0.9995320069085901,1.0,0.9991326608955471
2006-03-15,1.0320443517638636,1.0,1.0,0.9995220519886839,1.0,0.9991142150475854
2006-03-16,1.034175111518804,1.0,1.0,0.9995120971679247,1.0,0.9990957695401683
2006-03-17,1.0350390344161278,1.0,1.0,0.9995021424463112,1.0,0.9990773243732897
2006-03-20,1.0333746046096015,1.0,1.0,0.9994921878238425,1.0,0.9990588795469432
2006-03-21,1.0268770391031536,1.0,1.0,0.9994822333005178,1.0,0.9990404350611224
2006-03-22,1.0331370781506541,1.0,1.0,0.9994722788763358,1.0,0.9990219909158212
2006-03-23,1.0309980315747076,1.0,1.0,0.9994623245512959,1.0,0.9990035471110333
2006-03-24,1.0317902516629038,1.0,1.0,0.9994523703253968,1.0,0.9989851036467523
2006-03-27,1.030284143752444,1.0,1.0,0.9994424161986376,1.0,0.998966660522972
2006-03-28,1.0239452490608418,1.0,1.0,0.9994324621710173,1.0,0.998948217739686
2006-03-29,1.0303636100044091,1.0,1.0,0.9994225082425351,1.0,0.9989297752968882
2006-03-30,1.0285412944502903,1.0,1.0,0.9994125544131897,1.0,0.9989113331945721
2006-03-31,1.0287789081389325,1.0,1.0,0.9994026006829804,1.0,0.9988928914327316
2006-04-03,1.027986339131957,1.0,1.0,0.999392647051906,1.0,0.9988744500113603
2006-04-04,1.0345631092012855,1.0,1.0,0.9993826935199656,1.0,0.998856008930452
2006-04-05,1.0381291463545061,1.0,1.0,0.9993727400871582,1.0,0.9988375681900004
